
Test set: Average loss: 7.548961, Accuracy: 9.910000 

Train Epoch: 1	[0/50000 (0%)]	Loss: 0.668162	Accuracy: 0.000000	Time 0.375 (0.375)	Data 0.069 (0.069)
Train Epoch: 1	[200/50000 (0%)]	Loss: 0.321213	Accuracy: 10.000000	Time 0.297 (0.304)	Data 0.000 (0.006)
Train Epoch: 1	[400/50000 (1%)]	Loss: 0.358027	Accuracy: 10.000000	Time 0.297 (0.301)	Data 0.000 (0.003)
Train Epoch: 1	[600/50000 (1%)]	Loss: 0.343915	Accuracy: 5.000000	Time 0.297 (0.299)	Data 0.000 (0.002)
Train Epoch: 1	[800/50000 (2%)]	Loss: 0.293707	Accuracy: 25.000000	Time 0.298 (0.299)	Data 0.000 (0.002)
Train Epoch: 1	[1000/50000 (2%)]	Loss: 0.291913	Accuracy: 35.000000	Time 0.297 (0.298)	Data 0.000 (0.002)
Train Epoch: 1	[1200/50000 (2%)]	Loss: 0.418181	Accuracy: 5.000000	Time 0.297 (0.298)	Data 0.000 (0.001)
Train Epoch: 1	[1400/50000 (3%)]	Loss: 0.295329	Accuracy: 25.000000	Time 0.297 (0.298)	Data 0.000 (0.001)
Train Epoch: 1	[1600/50000 (3%)]	Loss: 0.355523	Accuracy: 15.000000	Time 0.296 (0.298)	Data 0.000 (0.001)
Train Epoch: 1	[1800/50000 (4%)]	Loss: 0.306707	Accuracy: 20.000000	Time 0.299 (0.298)	Data 0.000 (0.001)
Train Epoch: 1	[2000/50000 (4%)]	Loss: 0.331312	Accuracy: 30.000000	Time 0.298 (0.298)	Data 0.000 (0.001)
Train Epoch: 1	[2200/50000 (4%)]	Loss: 0.426836	Accuracy: 15.000000	Time 0.299 (0.298)	Data 0.000 (0.001)
Train Epoch: 1	[2400/50000 (5%)]	Loss: 0.321683	Accuracy: 10.000000	Time 0.299 (0.298)	Data 0.000 (0.001)
Train Epoch: 1	[2600/50000 (5%)]	Loss: 0.245236	Accuracy: 30.000000	Time 0.300 (0.298)	Data 0.000 (0.001)
Train Epoch: 1	[2800/50000 (6%)]	Loss: 0.262002	Accuracy: 10.000000	Time 0.299 (0.298)	Data 0.000 (0.001)
Train Epoch: 1	[3000/50000 (6%)]	Loss: 0.331179	Accuracy: 15.000000	Time 0.299 (0.298)	Data 0.000 (0.001)
Train Epoch: 1	[3200/50000 (6%)]	Loss: 0.328795	Accuracy: 20.000000	Time 0.298 (0.298)	Data 0.000 (0.001)
Train Epoch: 1	[3400/50000 (7%)]	Loss: 0.331399	Accuracy: 20.000000	Time 0.299 (0.298)	Data 0.000 (0.001)
Train Epoch: 1	[3600/50000 (7%)]	Loss: 0.174109	Accuracy: 35.000000	Time 0.299 (0.298)	Data 0.000 (0.001)
Train Epoch: 1	[3800/50000 (8%)]	Loss: 0.273203	Accuracy: 30.000000	Time 0.300 (0.298)	Data 0.000 (0.001)
Train Epoch: 1	[4000/50000 (8%)]	Loss: 0.272770	Accuracy: 30.000000	Time 0.299 (0.298)	Data 0.000 (0.001)
Train Epoch: 1	[4200/50000 (8%)]	Loss: 0.318662	Accuracy: 20.000000	Time 0.299 (0.298)	Data 0.000 (0.001)
Train Epoch: 1	[4400/50000 (9%)]	Loss: 0.216350	Accuracy: 35.000000	Time 0.299 (0.298)	Data 0.000 (0.001)
Train Epoch: 1	[4600/50000 (9%)]	Loss: 0.351000	Accuracy: 30.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[4800/50000 (10%)]	Loss: 0.298672	Accuracy: 20.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[5000/50000 (10%)]	Loss: 0.293420	Accuracy: 35.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[5200/50000 (10%)]	Loss: 0.312700	Accuracy: 10.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
